,,,,,,
,PUT - Synch,PUT - Concurrent,GET - Synch,GET - Concurrent,REMOVE - Synch,REMOVE - Concurrent
,6,13,3,4,3,6
,7,13,4,5,10,6
,6,13,3,4,2,6
,9,15,4,4,11,4
,2,4,3,9,12,10
,2,2,7,10,13,1
,2,2,13,3,1,2
,2,2,3,1,1,3
,2,2,1,0,4,1
,2,2,1,1,2,1
,2,2,0,0,2,1
,1,2,1,0,1,1
,2,3,0,1,1,1
,2,3,0,0,1,2
,2,2,0,1,1,1
,2,2,0,0,1,1
,1,4,1,1,1,1
,2,3,1,1,1,1
,2,3,0,1,1,1
,2,2,0,1,1,1
,2,2,0,0,1,1
,3,2,1,1,1,1
,3,2,1,0,1,0
,2,3,1,0,2,1
,2,3,0,0,0,1
,1,3,0,0,1,1
,1,3,1,0,1,1
,1,3,1,0,1,1
,1,2,0,0,3,1
,1,2,1,0,0,0
,1,3,0,1,1,2
,1,2,0,1,1,1
,1,3,0,0,1,2
,1,3,0,0,2,1
,1,2,0,0,1,1
,1,1,1,0,1,1
,1,1,1,0,0,1
,1,1,0,0,0,1
,2,2,0,1,0,1
,2,1,0,0,1,0
,1,1,0,0,1,1
,1,2,1,0,3,1
,1,2,0,0,2,0
,1,3,0,0,1,1
,2,2,0,1,1,1
,1,2,0,0,0,1
,2,2,0,0,1,7
,1,4,1,1,1,0
,3,3,0,0,0,1
